全国，都道府県，市区町村,自治体コード,人口総数,うち外国人数,外国人比率（%）,2010年外国人比率（％）
仁木町,1407,3180.0,67.0,2.1069182389937104,3.026315789473684
余市町,1408,18000.0,125.0,0.6944444444444444,0.4092576912221282
赤井川村,1409,1165.0,60.0,5.150214592274678,0.2377179080824089
南幌町,1423,7319.0,46.0,0.6285011613608417,0.4215083162451583
奈井江町,1424,5120.0,28.0,0.546875,0.1775912173070713
上砂川町,1425,2841.0,17.0,0.5983808518127419,0.2692119432207537
由仁町,1427,4822.0,24.0,0.4977187888842804,0.2883310719131614
長沼町,1428,10289.0,26.0,0.2526970551073962,0.0427679411513129
栗山町,1429,11272.0,35.0,0.3105039034776437,0.3223388305847076
月形町,1430,3691.0,13.0,0.3522080736927662,0.3087054949578102
浦臼町,1431,1732.0,8.0,0.4618937644341801,0.1813236627379873
新十津川町,1432,6484.0,19.0,0.2930289944478717,0.0965650434542695
妹背牛町,1433,2693.0,43.0,1.5967322688451542,
秩父別町,1434,2329.0,3.0,0.12881064834693,0.0732600732600732
雨竜町,1436,2389.0,9.0,0.3767266638760987,0.0655952771400459
北竜町,1437,1724.0,6.0,0.3480278422273781,
沼田町,1438,2909.0,6.0,0.2062564455139223,
鷹栖町,1452,6567.0,3.0,0.0456829602558245,0.0408441116405718
東神楽町,1453,10127.0,43.0,0.4246074849412462,0.118381403357727
当麻町,1454,6319.0,10.0,0.1582528881152081,0.0846620572879921
比布町,1455,3520.0,3.0,0.0852272727272727,0.074220682830282
愛別町,1456,2605.0,40.0,1.5355086372360844,0.8713942307692308
上川町,1457,3500.0,48.0,1.3714285714285714,0.617828773168579
東川町,1458,8314.0,266.0,3.1994226605725284,0.9161470925054078
美瑛町,1459,9668.0,86.0,0.8895324782788581,0.1095290251916757
上富良野町,1460,10348.0,60.0,0.5798221878623889,0.1212646167171936
中富良野町,1461,4733.0,34.0,0.7183604479188676,0.073032682125251
南富良野町,1462,2376.0,18.0,0.7575757575757576,0.1421464108031272
占冠村,1463,1306.0,145.0,11.10260336906585,1.1477761836441895
和寒町,1464,3192.0,22.0,0.6892230576441103,0.0521920668058455
剣淵町,1465,2926.0,1.0,0.0341763499658236,0.0561009817671809
下川町,1468,3126.0,26.0,0.8317338451695457,0.5033112582781457
美深町,1469,4145.0,35.0,0.8443908323281062,0.3669370413286983
音威子府村,1470,706.0,1.0,0.141643059490085,0.4020100502512563
中川町,1471,1528.0,8.0,0.5235602094240838,0.8390141583639223
幌加内町,1472,1370.0,2.0,0.145985401459854,0.175438596491228
増毛町,1481,3908.0,80.0,2.047082906857728,1.1618747538400946
小平町,1482,2994.0,67.0,2.237808951235805,0.3766478342749529
苫前町,1483,2936.0,26.0,0.8855585831062671,0.3008752735229759
羽幌町,1484,6548.0,22.0,0.3359804520464264,0.0376695128076343
初山別村,1485,1080.0,8.0,0.7407407407407408,0.0730460189919649
遠別町,1486,2520.0,60.0,2.380952380952381,0.7782101167315175
天塩町,1487,2950.0,34.0,1.152542372881356,0.3439153439153439
猿払村,1511,2611.0,161.0,6.166219839142091,4.212389380530973
浜頓別町,1512,3448.0,75.0,2.1751740139211138,2.399232245681382
中頓別町,1513,1637.0,4.0,0.2443494196701283,0.1013171225937183
枝幸町,1514,7565.0,130.0,1.7184401850627893,1.2383561643835617
豊富町,1516,3974.0,42.0,1.0568696527428283,0.4111466423024212
礼文町,1517,2509.0,28.0,1.1159824631327222,0.7472384665367121
利尻町,1518,2004.0,1.0,0.0499001996007983,0.4247104247104247
利尻富士町,1519,2458.0,11.0,0.4475183075671277,0.658544616397761
幌延町,1520,2371.0,28.0,1.180936313791649,0.7471049682480388
美幌町,1543,18697.0,88.0,0.4706637428464459,0.1900347624565469
津別町,1544,4373.0,9.0,0.2058083695403613,0.2656748140276302
斜里町,1545,11418.0,187.0,1.6377649325626205,0.4752778842468379
清里町,1546,3883.0,2.0,0.0515065670873036,0.1318391562294001
小清水町,1547,4623.0,23.0,0.4975124378109453,0.1866368047779022
訓子府町,1549,4677.0,28.0,0.5986743639084883,0.1839926402943882
置戸町,1550,2775.0,5.0,0.1801801801801801,0.1750291715285881
佐呂間町,1552,4875.0,222.0,4.5538461538461545,2.3251866938221317
遠軽町,1555,19241.0,69.0,0.3586092198950158,0.2649898944531776
湧別町,1559,8270.0,145.0,1.7533252720677146,1.523752614281446
滝上町,1560,2421.0,25.0,1.0326311441553075,0.2642007926023778
興部町,1561,3628.0,85.0,2.342888643880926,2.278539874447803
西興部村,1562,1053.0,28.0,2.6590693257359925,0.1762114537444934
雄武町,1563,4199.0,228.0,5.429864253393665,4.312613889451306
大空町,1564,6775.0,13.0,0.1918819188191882,0.1764780032774486
豊浦町,1571,3821.0,62.0,1.6226118817063595,0.4637809187279152
壮瞥町,1575,2743.0,26.0,0.9478672985781992,0.2475247524752475
白老町,1578,16212.0,189.0,1.16580310880829,0.4180429397192403
厚真町,1581,4432.0,46.0,1.0379061371841156,0.2249488752556237
洞爺湖町,1584,8442.0,88.0,1.0424070125562663,0.3355704697986577
安平町,1585,7340.0,73.0,0.994550408719346,0.275040110016044
むかわ町,1586,7651.0,142.0,1.8559665403215264,1.2415349887133182
日高町,1601,11279.0,260.0,2.305168897951946,0.7051046639735585
平取町,1602,4776.0,127.0,2.6591289782244556,2.2337383845604
新冠町,1604,5309.0,146.0,2.750047089847429,0.935064935064935
浦河町,1607,12074.0,256.0,2.1202584064932912,0.5420807561331573
様似町,1608,4043.0,26.0,0.6430868167202572,0.215095815408682
えりも町,1609,4374.0,39.0,0.8916323731138546,0.5911694069831886
新ひだか町,1610,21517.0,103.0,0.4786912673699865,0.2360439041661748
音更町,1631,43576.0,107.0,0.245548008077841,0.0975934346234889
士幌町,1632,5848.0,90.0,1.5389876880984952,0.903990024937656
上士幌町,1633,4778.0,136.0,2.8463792381749684,0.6889763779527559
鹿追町,1634,5266.0,75.0,1.4242309153057349,0.4384426517011574
新得町,1635,5817.0,33.0,0.5673027333677153,0.4208627686757853
清水町,1636,9094.0,135.0,1.4844952716076534,0.1907439012147374
芽室町,1637,18048.0,60.0,0.3324468085106383,0.1216609362602486
中札内村,1638,3884.0,76.0,1.956745623069001,0.6989515726410384
更別村,1639,3080.0,8.0,0.2597402597402597,0.8552049542907697
大樹町,1641,5420.0,108.0,1.992619926199262,0.4517316379454575
広尾町,1642,6387.0,51.0,0.7984969469234382,0.2791523918284481
幕別町,1643,25766.0,108.0,0.419157028642397,0.1695106791727879
池田町,1644,6294.0,22.0,0.3495392437241817,0.0929985385943935
