統計名：,令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）,,,,,,,,,,
表番号：,44-1,,,,,,,,,,
表題：,[外国人] 男女，国籍別人口－全国，都道府県，市区町村,,,,,,,,,,
実施年月：,2020年,10月,,,,,,,,,
市区町村時点（年月日）：,-,,,,,,,,,,
,,,,,,,,,,,
NA,欠測値,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,/表章事項 コード,2020_01,2020_01
,,,,,,,,,/表章事項 補助コード,-,-
,,,,,,,,,/表章事項,人口【人】,人口【人】
,,,,,,,,,/国籍 コード,0,1
,,,,,,,,,/国籍 補助コード,-,-
時間軸（年次） コード,時間軸（年次） 補助コード,時間軸（年次）,男女 コード,男女 補助コード,男女,全国，都道府県，市区町村 コード,全国，都道府県，市区町村 補助コード,全国，都道府県，市区町村,/国籍,総数,外国人
2020000000,,2020年,0,,総数,1608,,様似町,,4043,26
2020000000,,2020年,0,,総数,1609,,えりも町,,4374,39
2020000000,,2020年,0,,総数,1610,,新ひだか町,,21517,103
2020000000,,2020年,0,,総数,1631,,音更町,,43576,107
2020000000,,2020年,0,,総数,1632,,士幌町,,5848,90
2020000000,,2020年,0,,総数,1633,,上士幌町,,4778,136
2020000000,,2020年,0,,総数,1634,,鹿追町,,5266,75
2020000000,,2020年,0,,総数,1635,,新得町,,5817,33
2020000000,,2020年,0,,総数,1636,,清水町,,9094,135
2020000000,,2020年,0,,総数,1637,,芽室町,,18048,60
2020000000,,2020年,0,,総数,1638,,中札内村,,3884,76
2020000000,,2020年,0,,総数,1639,,更別村,,3080,8
2020000000,,2020年,0,,総数,1641,,大樹町,,5420,108
2020000000,,2020年,0,,総数,1642,,広尾町,,6387,51
2020000000,,2020年,0,,総数,1643,,幕別町,,25766,108
2020000000,,2020年,0,,総数,1644,,池田町,,6294,22
2020000000,,2020年,0,,総数,1645,,豊頃町,,3022,50
2020000000,,2020年,0,,総数,1646,,本別町,,6618,42
2020000000,,2020年,0,,総数,1647,,足寄町,,6563,26
2020000000,,2020年,0,,総数,1648,,陸別町,,2264,41
2020000000,,2020年,0,,総数,1649,,浦幌町,,4387,34
2020000000,,2020年,0,,総数,1661,,釧路町,,19105,72
2020000000,,2020年,0,,総数,1662,,厚岸町,,8892,156
2020000000,,2020年,0,,総数,1663,,浜中町,,5507,84
2020000000,,2020年,0,,総数,1664,,標茶町,,7230,95
2020000000,,2020年,0,,総数,1665,,弟子屈町,,6955,48
2020000000,,2020年,0,,総数,1667,,鶴居村,,2558,35
2020000000,,2020年,0,,総数,1668,,白糠町,,7289,90
2020000000,,2020年,0,,総数,1691,,別海町,,14380,395
2020000000,,2020年,0,,総数,1692,,中標津町,,23010,107
2020000000,,2020年,0,,総数,1693,,標津町,,5023,77
2020000000,,2020年,0,,総数,1694,,羅臼町,,4722,42
2020000000,,2020年,0,,総数,2000,,青森県,,1237984,5409
2020000000,,2020年,0,,総数,2201,,青森市,,275192,922
2020000000,,2020年,0,,総数,2202,,弘前市,,168466,641
2020000000,,2020年,0,,総数,2203,,八戸市,,223415,1096
2020000000,,2020年,0,,総数,2204,,黒石市,,31946,116
2020000000,,2020年,0,,総数,2205,,五所川原市,,51415,97
2020000000,,2020年,0,,総数,2206,,十和田市,,60378,310
2020000000,,2020年,0,,総数,2207,,三沢市,,39152,659
2020000000,,2020年,0,,総数,2208,,むつ市,,54103,153
2020000000,,2020年,0,,総数,2209,,つがる市,,30934,58
2020000000,,2020年,0,,総数,2210,,平川市,,30567,48
2020000000,,2020年,0,,総数,2301,,平内町,,10126,47
2020000000,,2020年,0,,総数,2303,,今別町,,2334,3
2020000000,,2020年,0,,総数,2304,,蓬田村,,2540,2
2020000000,,2020年,0,,総数,2307,,外ヶ浜町,,5401,36
2020000000,,2020年,0,,総数,2321,,鰺ヶ沢町,,9044,14
2020000000,,2020年,0,,総数,2323,,深浦町,,7346,22
2020000000,,2020年,0,,総数,2343,,西目屋村,,1265,NA
2020000000,,2020年,0,,総数,2361,,藤崎町,,14573,27
2020000000,,2020年,0,,総数,2362,,大鰐町,,8665,2
2020000000,,2020年,0,,総数,2367,,田舎館村,,7326,11
2020000000,,2020年,0,,総数,2381,,板柳町,,12700,19
2020000000,,2020年,0,,総数,2384,,鶴田町,,12074,15
2020000000,,2020年,0,,総数,2387,,中泊町,,9657,64
2020000000,,2020年,0,,総数,2401,,野辺地町,,12374,151
2020000000,,2020年,0,,総数,2402,,七戸町,,14556,54
2020000000,,2020年,0,,総数,2405,,六戸町,,10447,81
2020000000,,2020年,0,,総数,2406,,横浜町,,4229,76
2020000000,,2020年,0,,総数,2408,,東北町,,16428,103
2020000000,,2020年,0,,総数,2411,,六ヶ所村,,10367,103
2020000000,,2020年,0,,総数,2412,,おいらせ町,,24273,228
2020000000,,2020年,0,,総数,2423,,大間町,,4718,9
2020000000,,2020年,0,,総数,2424,,東通村,,5955,12
2020000000,,2020年,0,,総数,2425,,風間浦村,,1636,3
2020000000,,2020年,0,,総数,2426,,佐井村,,1788,1
2020000000,,2020年,0,,総数,2441,,三戸町,,9082,34
2020000000,,2020年,0,,総数,2442,,五戸町,,16042,72
2020000000,,2020年,0,,総数,2443,,田子町,,4968,13
2020000000,,2020年,0,,総数,2445,,南部町,,16809,33
2020000000,,2020年,0,,総数,2446,,階上町,,13496,66
2020000000,,2020年,0,,総数,2450,,新郷村,,2197,8
2020000000,,2020年,0,,総数,3000,,岩手県,,1210534,6937
2020000000,,2020年,0,,総数,3201,,盛岡市,,289731,1321
2020000000,,2020年,0,,総数,3202,,宮古市,,50369,125
2020000000,,2020年,0,,総数,3203,,大船渡市,,34728,318
2020000000,,2020年,0,,総数,3205,,花巻市,,93193,373
2020000000,,2020年,0,,総数,3206,,北上市,,93045,736
2020000000,,2020年,0,,総数,3207,,久慈市,,33043,324
2020000000,,2020年,0,,総数,3208,,遠野市,,25366,155
2020000000,,2020年,0,,総数,3209,,一関市,,111932,799
2020000000,,2020年,0,,総数,3210,,陸前高田市,,18262,173
2020000000,,2020年,0,,総数,3211,,釜石市,,32078,219
2020000000,,2020年,0,,総数,3213,,二戸市,,25513,192
2020000000,,2020年,0,,総数,3214,,八幡平市,,24023,95
2020000000,,2020年,0,,総数,3215,,奥州市,,112937,589
2020000000,,2020年,0,,総数,3216,,滝沢市,,55579,233
2020000000,,2020年,0,,総数,3301,,雫石町,,15731,42
2020000000,,2020年,0,,総数,3302,,葛巻町,,5634,23
2020000000,,2020年,0,,総数,3303,,岩手町,,12285,165
2020000000,,2020年,0,,総数,3321,,紫波町,,32147,86
2020000000,,2020年,0,,総数,3322,,矢巾町,,28056,104
2020000000,,2020年,0,,総数,3366,,西和賀町,,5134,24
2020000000,,2020年,0,,総数,3381,,金ケ崎町,,15535,145
2020000000,,2020年,0,,総数,3402,,平泉町,,7252,39
2020000000,,2020年,0,,総数,3441,,住田町,,5045,106
2020000000,,2020年,0,,総数,3461,,大槌町,,11004,51
2020000000,,2020年,0,,総数,3482,,山田町,,14320,62
2020000000,,2020年,0,,総数,3483,,岩泉町,,8726,61
2020000000,,2020年,0,,総数,3484,,田野畑村,,3059,29
2020000000,,2020年,0,,総数,3485,,普代村,,2487,21
2020000000,,2020年,0,,総数,3501,,軽米町,,8421,89
2020000000,,2020年,0,,総数,3503,,野田村,,3936,22
2020000000,,2020年,0,,総数,3506,,九戸村,,5378,16
2020000000,,2020年,0,,総数,3507,,洋野町,,15091,51
2020000000,,2020年,0,,総数,3524,,一戸町,,11494,149
2020000000,,2020年,0,,総数,4000,,宮城県,,2301996,19453
2020000000,,2020年,0,,総数,4100,,仙台市,,1096704,11507
2020000000,,2020年,0,,総数,4101,,仙台市青葉区,,311590,5581
2020000000,,2020年,0,,総数,4102,,仙台市宮城野区,,196732,1915
2020000000,,2020年,0,,総数,4103,,仙台市若林区,,141475,1258
2020000000,,2020年,0,,総数,4104,,仙台市太白区,,234758,1677
2020000000,,2020年,0,,総数,4105,,仙台市泉区,,212149,1076
2020000000,,2020年,0,,総数,4202,,石巻市,,140151,1071
2020000000,,2020年,0,,総数,4203,,塩竈市,,52203,503
2020000000,,2020年,0,,総数,4205,,気仙沼市,,61147,582
2020000000,,2020年,0,,総数,4206,,白石市,,32758,214
2020000000,,2020年,0,,総数,4207,,名取市,,78718,359
2020000000,,2020年,0,,総数,4208,,角田市,,27976,206
2020000000,,2020年,0,,総数,4209,,多賀城市,,62827,364
2020000000,,2020年,0,,総数,4211,,岩沼市,,44068,375
2020000000,,2020年,0,,総数,4212,,登米市,,76037,328
2020000000,,2020年,0,,総数,4213,,栗原市,,64637,486
2020000000,,2020年,0,,総数,4214,,東松島市,,39098,142
2020000000,,2020年,0,,総数,4215,,大崎市,,127330,726
2020000000,,2020年,0,,総数,4216,,富谷市,,51651,219
2020000000,,2020年,0,,総数,4301,,蔵王町,,11418,67
2020000000,,2020年,0,,総数,4302,,七ヶ宿町,,1262,27
2020000000,,2020年,0,,総数,4321,,大河原町,,23571,125
2020000000,,2020年,0,,総数,4322,,村田町,,10666,54
2020000000,,2020年,0,,総数,4323,,柴田町,,38271,140
