全国，都道府県，市区町村,Unnamed: 0,自治体コード,人口総数,うち外国人数,外国人比率（%）
豊浦町,148,1571,3821.0,62.0,1.6226118817063595
壮瞥町,149,1575,2743.0,26.0,0.9478672985781992
白老町,150,1578,16212.0,189.0,1.16580310880829
厚真町,151,1581,4432.0,46.0,1.0379061371841156
洞爺湖町,152,1584,8442.0,88.0,1.0424070125562663
安平町,153,1585,7340.0,73.0,0.994550408719346
むかわ町,154,1586,7651.0,142.0,1.8559665403215264
日高町,155,1601,11279.0,260.0,2.305168897951946
平取町,156,1602,4776.0,127.0,2.6591289782244556
新冠町,157,1604,5309.0,146.0,2.750047089847429
浦河町,158,1607,12074.0,256.0,2.1202584064932912
様似町,159,1608,4043.0,26.0,0.6430868167202572
えりも町,160,1609,4374.0,39.0,0.8916323731138546
新ひだか町,161,1610,21517.0,103.0,0.4786912673699865
音更町,162,1631,43576.0,107.0,0.245548008077841
士幌町,163,1632,5848.0,90.0,1.5389876880984952
上士幌町,164,1633,4778.0,136.0,2.8463792381749684
鹿追町,165,1634,5266.0,75.0,1.4242309153057349
新得町,166,1635,5817.0,33.0,0.5673027333677153
清水町,167,1636,9094.0,135.0,1.4844952716076534
芽室町,168,1637,18048.0,60.0,0.3324468085106383
中札内村,169,1638,3884.0,76.0,1.956745623069001
更別村,170,1639,3080.0,8.0,0.2597402597402597
大樹町,171,1641,5420.0,108.0,1.992619926199262
広尾町,172,1642,6387.0,51.0,0.7984969469234382
幕別町,173,1643,25766.0,108.0,0.419157028642397
池田町,174,1644,6294.0,22.0,0.3495392437241817
豊頃町,175,1645,3022.0,50.0,1.6545334215751155
本別町,176,1646,6618.0,42.0,0.6346328195829556
足寄町,177,1647,6563.0,26.0,0.3961602925491391
陸別町,178,1648,2264.0,41.0,1.8109540636042405
浦幌町,179,1649,4387.0,34.0,0.7750170959653522
釧路町,180,1661,19105.0,72.0,0.3768646951059932
厚岸町,181,1662,8892.0,156.0,1.7543859649122806
浜中町,182,1663,5507.0,84.0,1.5253313964045758
標茶町,183,1664,7230.0,95.0,1.313969571230982
弟子屈町,184,1665,6955.0,48.0,0.6901509705248023
鶴居村,185,1667,2558.0,35.0,1.3682564503518373
白糠町,186,1668,7289.0,90.0,1.2347372753464123
別海町,187,1691,14380.0,395.0,2.7468706536856744
中標津町,188,1692,23010.0,107.0,0.4650152107779227
標津町,189,1693,5023.0,77.0,1.5329484371889308
羅臼町,190,1694,4722.0,42.0,0.8894536213468869
青森県,191,2000,1237984.0,5409.0,0.4369200248145372
青森市,192,2201,275192.0,922.0,0.3350388092677113
弘前市,193,2202,168466.0,641.0,0.3804922061424857
